time,z,y,x
0.0359101,0.0556161,0.380215,-0.715782
0.135963,0.0688522,-0.0731026,-0.0972119
0.167929,0.0089057,-0.105653,-0.142988
0.200025,-0.0899354,-0.0755254,-0.08667
0.235954,0.0270883,-0.198098,-0.212236
0.267967,0.00801761,-0.204546,-0.53186
0.300014,-0.0561476,-9.11965e-05,-0.277
0.399982,0.0414437,-0.0737862,0.0955411
0.435929,-0.00908289,-0.139352,0.0953887
0.499981,0.06457,0.00548824,-0.0417374
0.600168,-0.103674,-0.205477,-0.0518954
0.635928,-0.0387576,-0.185421,-0.108452
0.667986,-0.145416,-0.241513,0.047075
0.700059,-0.121366,-0.0972995,0.0335893
0.735881,-0.0527921,0.159642,-0.0603911
0.799899,0.0860749,0.216602,-0.0560743
0.835911,0.169657,0.322521,-0.0566256
0.900015,0.0687469,-0.00159845,0.180853
0.935936,0.0720688,0.00699793,-0.0796207
0.968014,-0.0313653,0.144606,-0.0148612
1.00015,0.222476,0.150208,-0.796288
1.06791,0.100116,0.0448449,-0.309885
1.10007,0.192896,-0.79248,-0.55295
1.13591,0.0279557,-0.373885,0.026113
1.16792,0.129676,0.0803242,-0.257202
1.20002,0.0890799,0.0642575,-0.167325
1.23596,-0.0148124,-0.0887424,0.00675958
1.26798,-0.0245414,-0.243053,0.0261946
1.29997,-0.117126,-0.146075,0.151079
1.33603,-0.0831024,-0.106351,0.234054
1.36814,-0.0099855,-0.0711201,0.330837
1.40017,0.144158,-0.202253,0.12231
1.43592,0.0174541,-0.209854,0.148276
1.46814,0.0572157,-0.237945,0.248322
1.50022,-0.0114137,-0.0943343,0.114163
1.53631,-0.084965,0.028376,0.104814
1.56802,-0.275418,0.0503768,0.205641
1.60004,-0.182058,0.0200135,0.0877703
1.63594,-0.140699,0.0196695,-0.0734123
1.66795,-0.101861,-0.184537,-0.587368
1.70006,-0.0164833,-0.340329,0.0535163
1.73592,-0.0855086,-0.121964,0.101887
1.76791,-0.0576338,-0.155338,0.0913852
1.83593,-0.157756,-0.116952,0.465608
1.86794,-0.19811,-0.251702,0.278351
1.90012,-0.121983,-0.330004,0.173355
1.93593,-0.0717189,-0.36173,0.319114
1.96793,-0.104515,-0.2599,0.225142
2.00012,0.0211421,-0.0898354,0.321494
2.03598,-0.0287279,-0.175997,0.255387
2.06789,-0.0354619,-0.115098,0.282655
2.10024,-0.0296031,-0.200206,0.222861
2.13592,-0.0323932,-0.232857,0.243192
2.16804,0.027398,-0.29335,0.0958091
2.20053,-0.0133792,-0.320329,0.0596019
2.23621,-0.0412294,-0.165624,0.0608287
2.26798,0.0877198,0.0217544,-0.0439033
2.30015,0.113408,0.173057,-0.00611101
2.33602,0.0936457,0.18455,0.193443
2.36806,0.02839,0.0805043,0.282201
2.43603,-0.00882854,-0.440794,0.777142
2.46794,0.0729308,-0.472221,0.593717
2.50022,0.155728,-0.512716,0.842324
2.56798,0.165742,-0.432562,0.749807
2.63616,0.159646,0.375427,0.479111
2.66795,0.138808,0.25391,0.392825
2.70005,0.0877812,0.0580029,0.0954503
2.73623,0.0443018,0.0281147,0.124685
2.76796,0.0169924,0.0326314,-0.0749508
2.7999,0.00733947,0.011643,-0.217466
2.83599,-0.0947064,-0.0583224,-0.341228
2.86807,-0.154901,-0.000633614,-0.518279
2.90002,-0.0720539,-0.00310111,-0.377372
2.936,-0.151864,-0.116325,-0.263655
2.99986,-0.172453,0.133163,-0.958325
3.03596,-0.102069,0.294637,-0.418817
3.06797,-0.120001,0.357824,-0.537822
3.09998,-0.0418023,0.582682,-0.632698
3.20003,0.0718623,0.414968,-0.220987
3.23598,-0.0942119,0.142838,-0.467362
3.26801,0.268423,0.519346,-0.400109
3.29998,-0.0591404,0.102976,-0.233254
3.33603,0.00826694,0.0684225,-0.298373
3.36798,0.124326,0.17251,0.0477366
3.40015,0.0596613,0.123019,-0.273071
3.43607,0.101026,-0.0529381,0.0290252
3.56801,-0.0522104,-0.332287,-0.0552276
3.60003,0.0204731,-0.382731,0.0252883
3.63598,0.0428918,-0.156551,0.0507861
3.66797,0.0303106,-0.275333,0.322263
3.73596,0.132974,0.180943,-0.116395
3.76797,0.060748,0.174725,-0.169496
3.80002,0.0964657,-0.0154903,-0.442113
3.83598,0.0988099,0.212937,-0.0494296
3.86805,0.0692922,0.147074,-0.341235
3.90003,0.0160348,0.037449,-0.302602
3.93602,0.0669413,-0.023056,-0.452746
3.96805,0.07542,-0.0812871,-0.316163
4.00023,0.0815739,-0.115942,-0.212799
4.03597,0.179917,-0.0413177,-0.055468
4.06796,0.0836229,-0.105952,-0.00821973
4.10108,0.13666,-0.0446687,-0.246261
4.13593,0.0640738,-0.0156089,-0.249601
4.16795,-0.561978,-0.041967,-0.512094
4.20008,-0.403002,0.311319,-0.52502
4.23602,-0.12572,0.210011,-0.0810591
4.26797,-0.0732378,-0.0525941,-0.054724
4.30004,0.174687,-0.284615,0.0730378
4.33582,-0.0810457,-0.26528,0.218659
4.368,-0.0705481,-0.171091,0.246862
4.39998,-0.151008,-0.165909,-0.00922463
4.43585,-0.0762739,-0.234703,0.0415785
4.4679,0.0456437,-0.196858,0.114343
